name,type,variable,value,year,crime_type
"Portland, Oregon",place,count,3585,2012,Motor Vehicle Theft
"Portland, Oregon",place,count,1289,2007,Robbery
"Portland, Oregon",place,rate,417,2006,Aggravated Assault
"Portland, Oregon",place,rate,3498,2009,Larceny
"Portland, Oregon",place,rate,886,2007,Motor Vehicle Theft
"Portland, Oregon",place,rate,677,2013,Burglary
"Portland, Oregon",place,rate,11179,2010,All Crimes
"Portland, Oregon",place,count,22,2010,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,count,66426,2011,All Crimes
"Portland, Oregon",place,rate,47,2009,Arson
"Portland, Oregon",place,rate,368,2008,Aggravated Assault
"Portland, Oregon",place,rate,54,2006,Forcible Rape
"Portland, Oregon",place,count,280,2007,Forcible Rape
"Portland, Oregon",place,rate,3725,2010,Larceny
"Portland, Oregon",place,count,65679,2008,All Crimes
"Portland, Oregon",place,count,21597,2008,Larceny
"Portland, Oregon",place,count,4146,2014,Burglary
"Portland, Oregon",place,rate,38,2013,Rape (Legacy Definition)
"Portland, Oregon",place,count,1132,2008,Robbery
"Portland, Oregon",place,rate,37,2010,Arson
"Portland, Oregon",place,rate,3812,2011,Larceny
"Portland, Oregon",place,rate,11258,2011,All Crimes
"Portland, Oregon",place,rate,603,2008,Motor Vehicle Theft
"Portland, Oregon",place,rate,392,2007,Aggravated Assault
"Portland, Oregon",place,count,303,2008,Arson
"Portland, Oregon",place,count,250,2008,Forcible Rape
"Portland, Oregon",place,rate,13176,2007,All Crimes
"Portland, Oregon",place,rate,3647,2013,Larceny
"Portland, Oregon",place,count,22,2007,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,count,70446,2014,All Crimes
"Portland, Oregon",place,count,166,2014,Arson
"Portland, Oregon",place,count,29243,2008,Property Crime
"Portland, Oregon",place,rate,137,2014,Robbery
"Portland, Oregon",place,rate,539,2013,Motor Vehicle Theft
"Portland, Oregon",place,rate,729,2010,Burglary
"Portland, Oregon",place,count,67348,2012,All Crimes
"Portland, Oregon",place,count,4307,2008,Burglary
"Portland, Oregon",place,rate,899,2007,Burglary
"Portland, Oregon",place,count,4768,2007,Motor Vehicle Theft
"Portland, Oregon",place,count,917,2011,Robbery
"Portland, Oregon",place,count,22398,2012,Larceny
"Portland, Oregon",place,count,26495,2009,Property Crime
"Portland, Oregon",place,count,1797,2009,Aggravated Assault
"Portland, Oregon",place,count,70905,2007,All Crimes
"Portland, Oregon",place,rate,5901,2006,Property Crime
"Portland, Oregon",place,rate,11261,2012,All Crimes
"Portland, Oregon",place,count,21026,2010,Larceny
"Portland, Oregon",place,count,29633,2013,Property Crime
"Portland, Oregon",place,rate,5869,2007,Property Crime
"Portland, Oregon",place,count,1037,2009,Robbery
"Portland, Oregon",place,rate,3745,2012,Larceny
"Portland, Oregon",place,count,293,2006,Forcible Rape
"Portland, Oregon",place,rate,239,2006,Robbery
"Portland, Oregon",place,rate,11876,2008,All Crimes
"Portland, Oregon",place,count,20,2006,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,count,26,2014,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,count,331,2007,Arson
"Portland, Oregon",place,rate,204,2008,Robbery
"Portland, Oregon",place,rate,3,2006,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,26,2014,Arson
"Portland, Oregon",place,count,2037,2008,Aggravated Assault
"Portland, Oregon",place,rate,1011,2006,Burglary
"Portland, Oregon",place,count,1005,2010,Robbery
"Portland, Oregon",place,rate,548,2014,Motor Vehicle Theft
"Portland, Oregon",place,count,2911,2014,Violent Crime
"Portland, Oregon",place,rate,0,2013,Rape (Revised Definition)
"Portland, Oregon",place,count,3701,2007,Violent Crime
"Portland, Oregon",place,count,65316,2013,All Crimes
"Portland, Oregon",place,count,231,2012,Forcible Rape
"Portland, Oregon",place,count,14,2013,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,count,1892,2012,Aggravated Assault
"Portland, Oregon",place,count,3175,2009,Motor Vehicle Theft
"Portland, Oregon",place,count,28391,2010,Property Crime
"Portland, Oregon",place,count,19,2009,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,count,1776,2014,Aggravated Assault
"Portland, Oregon",place,count,5485,2006,Burglary
"Portland, Oregon",place,count,21978,2007,Larceny
"Portland, Oregon",place,rate,5092,2012,Property Crime
"Portland, Oregon",place,count,20,2011,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,count,31586,2007,Property Crime
"Portland, Oregon",place,rate,44,2009,Forcible Rape
"Portland, Oregon",place,count,3225,2011,Motor Vehicle Theft
"Portland, Oregon",place,rate,239,2007,Robbery
"Portland, Oregon",place,rate,42,2012,Arson
"Portland, Oregon",place,rate,184,2009,Robbery
"Portland, Oregon",place,count,234,2013,Rape (Legacy Definition)
"Portland, Oregon",place,rate,673,2014,Burglary
"Portland, Oregon",place,rate,4723,2009,Property Crime
"Portland, Oregon",place,rate,54,2008,Arson
"Portland, Oregon",place,count,4120,2010,Burglary
"Portland, Oregon",place,count,2941,2013,Violent Crime
"Portland, Oregon",place,count,30022,2011,Property Crime
"Portland, Oregon",place,count,252,2009,Forcible Rape
"Portland, Oregon",place,count,3872,2006,Violent Crime
"Portland, Oregon",place,count,230,2010,Forcible Rape
"Portland, Oregon",place,rate,11442,2014,All Crimes
"Portland, Oregon",place,rate,320,2009,Aggravated Assault
"Portland, Oregon",place,rate,42,2014,Rape (Legacy Definition)
"Portland, Oregon",place,rate,40,2010,Forcible Rape
"Portland, Oregon",place,rate,574,2010,Motor Vehicle Theft
"Portland, Oregon",place,rate,158,2012,Robbery
"Portland, Oregon",place,rate,729,2011,Burglary
"Portland, Oregon",place,count,4303,2011,Burglary
"Portland, Oregon",place,count,168,2013,Arson
"Portland, Oregon",place,rate,4,2014,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,714,2006,Violent Crime
"Portland, Oregon",place,count,2262,2006,Aggravated Assault
"Portland, Oregon",place,rate,4,2008,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,count,214,2010,Arson
"Portland, Oregon",place,rate,13306,2006,All Crimes
"Portland, Oregon",place,rate,10602,2009,All Crimes
"Portland, Oregon",place,rate,291,2013,Aggravated Assault
"Portland, Oregon",place,rate,4063,2006,Larceny
"Portland, Oregon",place,rate,553,2009,Violent Crime
"Portland, Oregon",place,rate,52,2007,Forcible Rape
"Portland, Oregon",place,rate,778,2008,Burglary
"Portland, Oregon",place,count,30454,2012,Property Crime
"Portland, Oregon",place,count,3289,2013,Motor Vehicle Theft
"Portland, Oregon",place,rate,150,2013,Robbery
"Portland, Oregon",place,rate,288,2014,Aggravated Assault
"Portland, Oregon",place,count,3105,2009,Violent Crime
"Portland, Oregon",place,rate,52,2011,Arson
"Portland, Oregon",place,rate,155,2011,Robbery
"Portland, Oregon",place,rate,4,2007,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,count,3445,2008,Violent Crime
"Portland, Oregon",place,count,22494,2011,Larceny
"Portland, Oregon",place,count,4840,2007,Burglary
"Portland, Oregon",place,count,254,2012,Arson
"Portland, Oregon",place,count,3245,2010,Motor Vehicle Theft
"Portland, Oregon",place,rate,514,2011,Violent Crime
"Portland, Oregon",place,count,950,2012,Robbery
"Portland, Oregon",place,rate,747,2012,Burglary
"Portland, Oregon",place,count,4128,2013,Burglary
"Portland, Oregon",place,rate,45,2008,Forcible Rape
"Portland, Oregon",place,rate,517,2012,Violent Crime
"Portland, Oregon",place,count,3339,2008,Motor Vehicle Theft
"Portland, Oregon",place,rate,472,2014,Violent Crime
"Portland, Oregon",place,rate,3905,2008,Larceny
"Portland, Oregon",place,count,3376,2014,Motor Vehicle Theft
"Portland, Oregon",place,count,308,2011,Arson
"Portland, Oregon",place,count,269,2009,Arson
"Portland, Oregon",place,rate,27,2013,Arson
"Portland, Oregon",place,rate,5287,2008,Property Crime
"Portland, Oregon",place,count,1794,2010,Aggravated Assault
"Portland, Oregon",place,count,1297,2006,Robbery
"Portland, Oregon",place,count,262,2014,Rape (Legacy Definition)
"Portland, Oregon",place,rate,658,2009,Burglary
"Portland, Oregon",place,rate,38,2012,Forcible Rape
"Portland, Oregon",place,count,258,2011,Forcible Rape
"Portland, Oregon",place,count,408,2006,Arson
"Portland, Oregon",place,rate,4013,2014,Larceny
"Portland, Oregon",place,count,19624,2009,Larceny
"Portland, Oregon",place,count,32229,2014,Property Crime
"Portland, Oregon",place,count,3093,2012,Violent Crime
"Portland, Oregon",place,rate,5088,2011,Property Crime
"Portland, Oregon",place,rate,825,2006,Motor Vehicle Theft
"Portland, Oregon",place,count,847,2014,Robbery
"Portland, Oregon",place,rate,4864,2013,Property Crime
"Portland, Oregon",place,rate,61,2007,Arson
"Portland, Oregon",place,rate,178,2010,Robbery
"Portland, Oregon",place,count,1842,2011,Aggravated Assault
"Portland, Oregon",place,rate,10722,2013,All Crimes
"Portland, Oregon",place,rate,317,2010,Aggravated Assault
"Portland, Oregon",place,count,22033,2006,Larceny
"Portland, Oregon",place,count,72144,2006,All Crimes
"Portland, Oregon",place,count,59469,2009,All Crimes
"Portland, Oregon",place,rate,622,2008,Violent Crime
"Portland, Oregon",place,count,72734,2016,All Crimes
"Portland, Oregon",place,rate,153,2016,Robbery
"Portland, Oregon",place,rate,5152,2016,Property Crime
"Portland, Oregon",place,count,3163,2016,Violent Crime
"Portland, Oregon",place,rate,60,2016,Rape (Revised Definition)
"Portland, Oregon",place,rate,276,2016,Aggravated Assault
"Portland, Oregon",place,count,33087,2016,Property Crime
"Portland, Oregon",place,count,389,2016,Rape (Revised Definition)
"Portland, Oregon",place,rate,36,2016,Arson
"Portland, Oregon",place,count,1774,2016,Aggravated Assault
"Portland, Oregon",place,rate,3752,2016,Larceny
"Portland, Oregon",place,rate,766,2016,Motor Vehicle Theft
"Portland, Oregon",place,count,4924,2016,Motor Vehicle Theft
"Portland, Oregon",place,count,14,2016,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,11327,2016,All Crimes
"Portland, Oregon",place,count,4064,2016,Burglary
"Portland, Oregon",place,count,234,2016,Arson
"Portland, Oregon",place,rate,632,2016,Burglary
"Portland, Oregon",place,rate,492,2016,Violent Crime
"Portland, Oregon",place,count,24099,2016,Larceny
"Portland, Oregon",place,count,986,2016,Robbery
"Portland, Oregon",place,rate,3,2010,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,3,2011,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,3,2009,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,2,2013,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,2,2016,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,3,2012,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,67,2017,Rape (Revised Definition)
"Portland, Oregon",place,rate,1123,2017,Motor Vehicle Theft
"Portland, Oregon",place,count,307,2017,Arson
"Portland, Oregon",place,count,1842,2017,Aggravated Assault
"Portland, Oregon",place,rate,5677,2017,Property Crime
"Portland, Oregon",place,count,24,2017,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,3,2017,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,112432,2017,All Crimes
"Portland, Oregon",place,count,4735,2017,Burglary
"Portland, Oregon",place,count,730147,2017,All Crimes
"Portland, Oregon",place,rate,47,2017,Arson
"Portland, Oregon",place,rate,283,2017,Aggravated Assault
"Portland, Oregon",place,count,1045,2017,Robbery
"Portland, Oregon",place,rate,160,2017,Robbery
"Portland, Oregon",place,rate,515,2017,Violent Crime
"Portland, Oregon",place,count,7295,2017,Motor Vehicle Theft
"Portland, Oregon",place,count,24837,2017,Larceny
"Portland, Oregon",place,rate,3824,2017,Larceny
"Portland, Oregon",place,count,438,2017,Rape (Revised Definition)
"Portland, Oregon",place,count,36867,2017,Property Crime
"Portland, Oregon",place,rate,729,2017,Burglary
"Portland, Oregon",place,count,3349,2017,Violent Crime
"Portland, Oregon",place,count,3418,2018,Violent Crime
"Portland, Oregon",place,rate,520,2018,Violent Crime
"Portland, Oregon",place,count,6932,2018,Motor Vehicle Theft
"Portland, Oregon",place,rate,1054,2018,Motor Vehicle Theft
"Portland, Oregon",place,count,25,2018,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,3,2018,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,count,438,2018,Rape (Revised Definition)
"Portland, Oregon",place,rate,66,2018,Rape (Revised Definition)
"Portland, Oregon",place,count,1056,2018,Robbery
"Portland, Oregon",place,rate,160,2018,Robbery
"Portland, Oregon",place,count,24508,2018,Larceny
"Portland, Oregon",place,rate,3728,2018,Larceny
"Portland, Oregon",place,count,4444,2018,Burglary
"Portland, Oregon",place,rate,676,2018,Burglary
"Portland, Oregon",place,count,35884,2018,Property Crime
"Portland, Oregon",place,rate,5459,2018,Property Crime
"Portland, Oregon",place,count,1899,2018,Aggravated Assault
"Portland, Oregon",place,rate,288,2018,Aggravated Assault
"Portland, Oregon",place,rate,111959,2018,All Crimes
"Portland, Oregon",place,count,735864,2018,All Crimes
"Riverside, California",place,rate,2042.004534,2011,Larceny
"Riverside, California",place,count,57,2011,Forcible rape
"Riverside, California",place,rate,30.40305768,2007,Forcible rape
"Riverside, California",place,rate,7069.584571,2014,All Crimes
"Riverside, California",place,rate,2184.417694,2013,Larceny
"Riverside, California",place,rate,44.76401849,2014,Rape (revised definition)
"Riverside, California",place,rate,810.3915982,2006,Burglary
